work_id,composer,title,detail,was,now
576703,"Moretti, Federico","3 Rondeaux, Op.4 (Moretti, Federico)",guitar (or lyre-guitar),Other,Solo
576998,"Moscheles, Ignaz","Grand duo concertant, Op.20 (Moscheles, Ignaz)","2 pianos (or piano, guitar)",Guitar and Piano,Other
577455,"Munier, Carlo","Barcarola, Op.45 (Munier, Carlo)","mandolin, guitar (or piano)",Guitar and Piano,Guitar and Mandolin
577488,"Munier, Carlo","Lucia di Lammermoor, Op.173 (Munier, Carlo)","2 mandolins, piano (or 2 mandolins, mandola, guitar)",Quartet,Guitar and Piano
577513,"Munier, Carlo","Serenatella, Op.221 (Munier, Carlo)","mandolin, guitar (or piano)",Guitar and Piano,Guitar and Mandolin
577794,"Mägi, Ester",Processus,"Chamber Music: guitar, violoncello (or violin)",Guitar and Violin,Guitar and Cello
577913,"Mühe, Hansgeorg",Variationen für Flöte und Gitarre,"Chamber Music: flute, guitar (or harpsichord)",Guitar and Piano,Guitar and Flute
578568,"Neuland, Wilhelm","Recollections of Germany, Op.29 (Neuland, Wilhelm)","2 guitars (or guitar, piano)",Guitar and Piano,Duo
578619,"Neuwirth, Olga",Zwei Duette aus 'Bählamms Fest',"Chamber Music: 2 countertenors (or soprano, countertenor) - bass clarinet, electric guitar, piano, viola d'amore, violoncello",Chamber Music,Guitar and Voice
578740,"Nickol, Peter",Blue Romance,"Chamber Music: flute, guitar (or piano or harp)",Guitar and Piano,Guitar and Flute
578978,"Nihashi, Jun-Ichi",7 Portraits,"Chamber Music: guitar, violin (or flute or mandolin)",Guitar and Flute,Guitar and Violin
579107,"Nobles, Jordan",Temporal Waves,Quartet: guitar quartet (or guitar trio),Trio,Quartet
579160,"Nodari, Marco",Playin' Strings,"Chamber Music: guitar, violin (or flute)",Guitar and Flute,Guitar and Violin
579666,"Nørgård, Per",Balkonscene,"Chamber Music: alto recorder (or flute), guitar",Guitar and Flute,Guitar and Recorder
579923,"Odell, Herbert Forrest","Danse di Cupid, Op.45 (Odell, Herbert Forrest)","2 mandolins (or violin, mandolin), guitar (or harp-guitar)",Trio,Guitar and Mandolin
579924,"Odell, Herbert Forrest","Idylle, Op.32 (Odell, Herbert Forrest)","mandolin (or violin), guitar",Guitar and Violin,Guitar and Mandolin
579928,"Odell, Herbert Forrest","The Phenomenon, Op.42 (Odell, Herbert Forrest)","mandolin (or violin), guitar",Guitar and Violin,Guitar and Mandolin
579929,"Odell, Herbert Forrest","The Toastmaster, Op.33 (Odell, Herbert Forrest)","mandolin (or violin), guitar",Guitar and Violin,Guitar and Mandolin
580638,"Ortiz-Alvarado, William",Cantilena,"Chamber Music: guitar (or chorus), piano (or guitar)",Guitar and Voice,Guitar and Piano
580927,"Ourkouzounov, Atanas",Three East Tales,"Chamber Music: guitar, violin (or flute)",Guitar and Flute,Guitar and Violin
581122,"Paganini, Niccolò","Cantabile, MS 109 (Paganini, Niccolò)","violin, guitar (or piano)",Guitar and Piano,Guitar and Violin
581969,"Patachich, Iván",Három vázlat,"Chamber Music: clarinet, guitar (or piano)",Guitar and Piano,Guitar and Clarinet
582091,"Pautrot, Emmanuel",Reflets,"Chamber Music: flute, guitar (or piano)",Guitar and Piano,Guitar and Flute
582123,"Pavlistcheff, Nicolas J.","Nocturne, Op.41 (Pavlistcheff, Nicolas J.)",bass guitar (or harp),Other,Bass Guitar
582468,"Peraldo Bert, Nilo",8 canti popolare friulani,"Chamber Music: mandolin (or violin), guitar",Guitar and Violin,Guitar and Mandolin
582505,"Peraldo Bert, Nilo",Sei Fughe a due voci,"Chamber Music: mandolin (or violin), guitar",Guitar and Violin,Guitar and Mandolin
582523,"Peraldo Bert, Nilo",Suite in stile antico,"Chamber Music: mandolin (or violin), guitar",Guitar and Violin,Guitar and Mandolin
583011,"Pettoletti, Pietro","Duo pour Guitare et Violon ou Flûte sur une Romance favorite Russe, Op.27 (Pettoletti, Pietro)","violin (or flute), guitar",Guitar and Flute,Guitar and Violin
583165,"Phillis, Jean Baptiste","Etude nouvelle pour la guitare ou lyre (Phillis, Jean Baptiste)",guitar (or lyre),Other,Solo
583233,"Pieroni, Uberto",Meditazione,"Chamber Music: guitar (or piano), violoncello",Guitar and Piano,Guitar and Cello
583234,"Pieroni, Uberto",Time One,"Chamber Music: oboe (or violoncello), guitar",Guitar and Cello,Guitar and Oboe
583331,"Pietrzela, Marco",Quattro Poesie musicali in dialetto ascolano,"Chamber Music: reciter - flute, guitar (or piano)",Guitar and Piano,Guitar and Flute
583411,"Pilsl, Fritz",Thema mit Variationen,"Chamber Music: mandolin (or violin), guitar",Guitar and Violin,Guitar and Mandolin
583414,"Pilsl, Fritz",Varianten zu einer Volksweise aus Lappland,"Chamber Music: mandolin (or violin), guitar",Guitar and Violin,Guitar and Mandolin
583457,"Pinkham, Daniel",Sagas,"Chamber Music: guitar, violoncello (or Renaissance lute with A tuning and viola da gamba)",Guitar and Viola,Guitar and Cello
583764,"Plouvier, Pierre Joseph","Duo concertant pour Guitare et Violoncelle ou Violon (Plouvier, Pierre Joseph)","cello (or violin), guitar",Guitar and Violin,Guitar and Cello
583886,"Poliquin, Denis",Ballade pour un Chausson,"Chamber Music: guitar, violoncello (or viola)",Guitar and Viola,Guitar and Cello
583938,"Pollet, Charles-François-Alexandre-Victor","Collection of Ariettas, Minuets and Allemandes No.1, Op.1 (Pollet, Charles-François-Alexandre-Victor)",guitar (or cittern),Plucked Instruments,Solo
583939,"Pollet, Charles-François-Alexandre-Victor","Collection of Ariettas, Minuets and Allemandes No.2, Op.2 (Pollet, Charles-François-Alexandre-Victor)",guitar (or cittern),Plucked Instruments,Solo
583944,"Pollet, Charles-François-Alexandre-Victor","Guitar Method, Op.5 (Pollet, Charles-François-Alexandre-Victor)",guitar (or cittern),Plucked Instruments,Solo
584116,"Porro, Pierre Jean","Variations on 'Vive Henri Quatre' (Porro, Pierre Jean)",guitar (or lyre-guitar),Other,Solo
584338,"Pratten, Catharina Josepha","Danish March (Pratten, Catharina Josepha)",guitar (or 2 guitars),Duo,Solo
584357,"Preiss, G. Rudolf","Volksmusik aus dem Salzkammergut (Preiss, G. Rudolf)","2 violins, guitar (or bass instrument)",Guitar and Voice,Guitar and Violin
587197,"Rocha, Davi","Um Brinde à Amizade (Rocha, Davi)",guitar (or lute),Plucked Instruments,Solo
587205,"Rocha, Pedro",Improvisação I,"Chamber Music: recorder (or flute), guitar (with scordatura)",Guitar and Flute,Guitar and Recorder
587303,"Rodrigo, Joaquín",Líricas castellanas,"Chamber Music: recorder, wooden cornet, vihuela (or flute, oboe, guitar)",Plucked Instruments,Trio
588565,"Rougeon-Beauclair, Antoine Louis","3 Guitar Sonatas, Op.4 (Rougeon-Beauclair, Antoine Louis)",guitar (or lyre-guitar),Other,Solo
588567,"Rougeon-Beauclair, Antoine Louis","36 Sauteuses, Rondeau, et Air connu avec 12 Variations, Op.6 (Rougeon-Beauclair, Antoine Louis)",guitar (or lyre-guitar),Other,Solo
588568,"Rougeon-Beauclair, Antoine Louis","Variations on 'Souvenez vous-en' (Rougeon-Beauclair, Antoine Louis)",guitar (or lyre-guitar),Other,Solo
588946,"Rulens, André",Langeur,"Chamber Music: flute (or oboe, or cor anglais, or violoncello), guitar",Quartet,Guitar and Flute
589287,"Rössler, Franz Georg",Modi,"Chamber Music: bass recorder (or mandolin or violin or violoncello), guitar",Guitar and Violin,Guitar and Recorder
589631,"Sainsbury, Chris",August Fragrance,"Chamber Music: violin (or soprano saxophone), guitar",Guitar and Voice,Guitar and Violin
589641,"Sainsbury, Chris",My Eye Has Seen My Desire,"Chamber Music: bass recorder (or oboe), guitar",Guitar and Oboe,Guitar and Recorder
589644,"Sainsbury, Chris",Pacifica,"Chamber Music: oboe (or recorder, or soprano saxophone), guitar",Guitar and Voice,Guitar and Oboe
